departure,arrival,departure_date,departure_time,arrival_date,arrival_time,bus_capacity,bus_number,ticket_price
Aberdeen,Glasgow,2023-04-02,06:00,2023-04-02,08:15,40,AB128,35.50
Aberdeen,Glasgow,2023-04-02,10:00,2023-04-02,12:15,40,AB129,35.50
Aberdeen,Edinburgh,2023-04-02,12:30,2023-04-02,14:45,40,AB130,40.00
Aberdeen,Edinburgh,2023-04-02,16:00,2023-04-02,18:15,40,AB131,40.00
Aberdeen,Inverness,2023-04-02,09:30,2023-04-02,11:45,40,AB132,25.00
Aberdeen,Inverness,2023-04-02,15:00,2023-04-02,17:15,40,AB133,25.00
Aberdeen,Dundee,2023-04-02,07:45,2023-04-02,10:00,35,AB134,30.00
Aberdeen,London,2023-04-02,09:00,2023-04-02,20:30,50,AB135,70.00
Glasgow,Aberdeen,2023-04-02,13:00,2023-04-02,15:15,40,AB136,35.50
Glasgow,Aberdeen,2023-04-02,17:30,2023-04-02,19:45,40,AB137,35.50
Edinburgh,Aberdeen,2023-04-02,08:45,2023-04-02,11:00,40,AB138,40.00
Edinburgh,Aberdeen,2023-04-02,13:30,2023-04-02,15:45,40,AB139,40.00
Inverness,Aberdeen,2023-04-02,12:00,2023-04-02,14:15,40,AB140,25.00
Inverness,Aberdeen,2023-04-02,17:30,2023-04-02,19:45,40,AB141,25.00
Dundee,Aberdeen,2023-04-02,12:30,2023-04-02,14:45,35,AB142,30.00
London,Aberdeen,2023-04-02,12:30,2023-04-03,00:00,50,AB143,70.00
Aberdeen,London,2023-04-03,07:30,2023-04-03,17:45,40,AB123,90.00
Aberdeen,London,2023-04-03,11:00,2023-04-03,21:15,40,AB124,90.00
Glasgow,Aberdeen,2023-04-03,06:00,2023-04-03,08:15,40,GA128,35.50
Glasgow,Aberdeen,2023-04-03,10:00,2023-04-03,12:15,40,GA129,35.50
Edinburgh,Aberdeen,2023-04-03,12:30,2023-04-03,14:45,40,EA130,40.00
Edinburgh,Aberdeen,2023-04-03,16:00,2023-04-03,18:15,40,EA131,40.00
Inverness,Aberdeen,2023-04-03,09:30,2023-04-03,11:45,40,IA132,25.00
Inverness,Aberdeen,2023-04-03,15:00,2023-04-03,17:15,40,IA133,25.00
Aberdeen,Glasgow,2023-04-03,6:30,2023-04-03,8:45,40,GA128,35.50
Aberdeen,Glasgow,2023-04-03,20:00,2023-04-03,22:15,40,GA129,35.50
Aberdeen,Inverness,2023-04-03,19:30,2023-04-03,21:45,40,IA132,25.00
Aberdeen,Inverness,2023-04-03,13:00,2023-04-03,13:55,40,IA133,25.00
Aberdeen,London,2023-04-04,07:30,2023-04-04,17:45,40,AB123,90.00
Aberdeen,Glasgow,2023-04-04,06:00,2023-04-04,08:15,40,GA128,35.50
Aberdeen,Edinburgh,2023-04-04,12:30,2023-04-04,14:45,40,EA130,40.00
Aberdeen,Inverness,2023-04-04,09:30,2023-04-04,11:45,40,IA132,25.00
Aberdeen,Dundee,2023-04-04,14:00,2023-04-04,16:15,40,DA134,30.00
London,Aberdeen,2023-04-04,08:00,2023-04-04,18:15,40,LA125,90.00
Glasgow,Aberdeen,2023-04-04,10:00,2023-04-04,12:15,40,GA129,35.50
Edinburgh,Aberdeen,2023-04-04,16:00,2023-04-04,18:15,40,EA131,40.00
Inverness,Aberdeen,2023-04-04,15:00,2023-04-04,17:15,40,IA133,25.00
Dundee,Aberdeen,2023-04-04,18:30,2023-04-04,20:45,40,DA135,30.00
Aberdeen,London,2023-04-05,07:30,2023-04-05,17:45,40,AB123,90.00
